2025.12.10 03:29:25 - OnInit() started
2025.12.10 03:29:25 - === 开始计算神龙通道指标 ===
2025.12.10 03:29:25 - 数据总数: 2119, 先前计算: 0
2025.12.10 03:29:25 - 当前时间: 2025.12.10 00:00, 计算范围: 0-1970
2025.12.10 03:29:25 - BUY | Time=2024.08.16 08:00:00, g116_0=2458.535968, g116_1=2359.181680, g120_0=2499.352144, g120_1=2398.410016, slld0_0=540.254385, slld8_0=525.737540, low_0=2451.010000, low_1=2450.600000, high_0=2464.370000, high_1=2457.530000
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.08.16 20:00:00, g116_0=2464.128448, g116_1=2462.269104, g120_0=2504.647456, g120_1=2503.026000, slld0_0=666.661416, slld8_0=648.096928, low_0=2498.340000, low_1=2477.800000, high_0=2508.790000, high_1=2499.980000
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.08.20 08:00:00, g116_0=2477.797344, g116_1=2476.488656, g120_0=2516.610048, g120_1=2515.408208, slld0_0=1001.872133, slld8_0=974.348614, low_0=2497.190000, low_1=2498.600000, high_0=2524.820000, high_1=2503.550000
2025.12.10 03:29:25 - BUY | Time=2024.08.22 12:00:00, g116_0=2487.695600, g116_1=2487.456784, g120_0=2523.069968, g120_1=2523.056512, slld0_0=1387.465143, slld8_0=1350.805922, low_0=2482.970000, low_1=2501.240000, high_0=2508.990000, high_1=2510.460000
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.08.26 08:00:00, g116_0=2491.957328, g116_1=2491.511376, g120_0=2525.215184, g120_1=2524.907856, slld0_0=1635.473523, slld8_0=1593.795115, low_0=2509.660000, low_1=2508.540000, high_0=2525.610000, high_1=2514.990000
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.08.28 00:00:00, g116_0=2494.652560, g116_1=2494.541136, g120_0=2527.356448, g120_1=2527.277232, slld0_0=1814.840278, slld8_0=1770.931190, low_0=2516.680000, low_1=2519.580000, high_0=2529.180000, high_1=2525.790000
2025.12.10 03:29:25 - BUY | Time=2024.08.28 12:00:00, g116_0=2494.657088, g116_1=2494.723344, g120_0=2527.376864, g120_1=2527.386624, slld0_0=1861.643703, slld8_0=1817.082967, low_0=2493.530000, low_1=2503.190000, high_0=2510.430000, high_1=2511.260000
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.08.29 16:00:00, g116_0=2492.887472, g116_1=2493.340832, g120_0=2525.771312, g120_1=2526.252944, slld0_0=1959.356443, slld8_0=1913.164769, low_0=2514.310000, low_1=2503.470000, high_0=2528.520000, high_1=2524.260000
2025.12.10 03:29:25 - CLOSE-BUY | Time=2024.08.30 08:00:00, g116_0=2490.485632, g116_1=2491.143552, g120_0=2523.327760, g120_1=2523.938928, slld0_0=2008.889741, slld8_0=1961.994601, low_0=2512.950000, low_1=2512.000000, high_0=2526.710000, high_1=2517.750000
2025.12.10 03:29:25 - BUY | Time=2024.09.03 12:00:00, g116_0=2484.399168, g116_1=2484.813152, g120_0=2517.548736, g120_1=2517.788576, slld0_0=2132.202709, slld8_0=2083.737913, low_0=2475.410000, low_1=2492.980000, high_0=2502.200000, high_1=2506.380000
2025.12.10 03:29:25 - BUY | Time=2024.09.04 08:00:00, g116_0=2483.530720, g116_1=2483.649072, g120_0=2516.713360, g120_1=2516.781216, slld0_0=2173.540885, slld8_0=2124.287493, low_0=2471.960000, low_1=2492.310000, high_0=2493.250000, high_1=2496.770000
